model,year,price,total_km,hp,box,body,drive,fuel,location
Ford Focus,2010,495000.0,136600.0,100.0,AT, хетчбэк, передний, бензин,Омская область
Hyundai Solaris,2021,515000.0,63.0,123.0,MT, седан, передний, бензин,Москва
Kia Rio,2019,945000.0,69000.0,100.0,AT, седан, передний, бензин,Краснодарский край
LADA Vesta,2019,735000.0,45000.0,106.0,MT, седан, передний, бензин,Тамбовская область
ВАЗ (LADA) 4x4 (Нива),2019,819000.0,32495.0,83.0,MT, внедорожник, полный, бензин,Республика Татарстан
УАЗ Patriot,2021,600000.0,11634.0,150.0,MT, внедорожник, полный, бензин,Москва
Hyundai Solaris,2015,800000.0,127000.0,123.0,AT, седан, передний, бензин,Ростовская область
Chevrolet Orlando,2012,819000.0,180324.0,141.0,AT, минивэн, передний, бензин,Ярославская область
BMW X5,2007,880000.0,252000.0,272.0,AT, внедорожник, полный, бензин,Чувашская Республика
BMW X5,2007,880000.0,252000.0,272.0,AT, внедорожник, полный, бензин,Чувашская Республика
Citroen Jumper,2013,460000.0,500000.0,130.0,MT, микроавтобус, передний, дизель,Волгоградская область
Mercedes-Benz CLC-класс,2010,849000.0,169000.0,143.0,AT, купе, задний, бензин,Удмуртская Республика
Skoda Rapid,2017,690000.0,75134.0,110.0,AT, хетчбэк, передний, бензин,Самарская область
Ford Focus,2014,597000.0,124509.0,105.0,MT, хетчбэк, передний, бензин,Ростовская область
Renault Logan,2017,599000.0,96000.0,102.0,AT, седан, передний, бензин,Самарская область
LADA Vesta,2021,590000.0,34.0,113.0,CVT, седан, передний, бензин,Москва
Skoda Fabia,2012,490000.0,119000.0,105.0,AT, хетчбэк, передний, бензин,Самарская область
Daihatsu Move Conte,2012,567500.0,71817.0,64.0,CVT, хетчбэк, передний, бензин,Оренбургская область
Opel Astra,2011,490000.0,163000.0,115.0,MT, седан, передний, бензин,Ростовская область
Renault Duster,2013,779000.0,116834.0,135.0,MT, внедорожник, полный, бензин,Республика Татарстан
Mercedes-Benz Sprinter,2002,900000.0,430000.0,82.0,MT, фургон, задний, дизель,Республика Крым
Hyundai Solaris,2014,690000.0,147777.0,123.0,AT, седан, передний, бензин,Ставропольский край
Renault Kaptur,2021,778000.0,21.0,150.0,CVT, внедорожник, передний, бензин,Москва
Toyota RAV4,2007,750000.0,109000.0,152.0,AT, внедорожник, полный, бензин,Москва
Renault Logan,2014,585000.0,71761.0,82.0,MT, седан, передний, бензин,Москва
Honda Civic,2007,490000.0,155000.0,140.0,AMT, хетчбэк, передний, бензин,Московская область
Toyota Corolla,2004,510000.0,215000.0,110.0,AT, седан, передний, бензин,Алтайский край
Mercedes-Benz B-класс,2014,999000.0,140000.0,150.0,AMT, хетчбэк, передний, бензин,Москва
Volkswagen Golf,2008,499900.0,96000.0,140.0,AMT, хетчбэк, передний, бензин,Москва
Volkswagen Golf,2010,635000.0,117809.0,102.0,MT, хетчбэк, передний, бензин,Мурманская область
ВАЗ (LADA) Granta,2020,777000.0,14957.0,106.0,MT, седан, передний, бензин,Воронежская область
Volkswagen Tiguan,2012,985000.0,215490.0,170.0,AT, внедорожник, полный, бензин,Московская область
Nissan Note,2011,567000.0,160000.0,88.0,MT, хетчбэк, передний, бензин,Пермский край
Hyundai Tucson,2009,747000.0,198640.0,112.0,AT, внедорожник, полный, дизель,Ростовская область
Skoda Octavia,2010,559000.0,189000.0,152.0,AT, хетчбэк, передний, бензин,Москва
Volkswagen Polo,2011,499000.0,139000.0,105.0,AT, седан, передний, бензин,Москва
Kia Sportage,2009,648000.0,168000.0,112.0,AT, внедорожник, полный, дизель,Волгоградская область
Toyota Corolla,2007,665000.0,137000.0,124.0,AMT, седан, передний, бензин,Чеченская Республика
Hyundai ix35,2011,955000.0,110000.0,150.0,AT, внедорожник, полный, бензин,Ставропольский край
Skoda Octavia,2011,655000.0,147040.0,102.0,MT, хетчбэк, передний, бензин,Мурманская область
Opel Astra GTC,2013,720000.0,119000.0,140.0,AT, хетчбэк, передний, бензин,Москва
Hyundai Tucson,2008,680000.0,166000.0,140.0,AT, внедорожник, полный, бензин,Москва
Kia Sportage,2011,980000.0,91000.0,150.0,AT, внедорожник, полный, бензин,Москва
Renault Logan,2011,459000.0,199983.0,103.0,AT, седан, передний, бензин,Московская область
SsangYong Rexton,2007,599000.0,186000.0,163.0,AT, внедорожник, полный, дизель,Москва
Volkswagen Passat CC,2011,765000.0,110000.0,152.0,AMT, седан, передний, бензин,Астраханская область
Great Wall Hover H3,2015,725000.0,115297.0,116.0,MT, внедорожник, полный, бензин,Москва
Hyundai Solaris,2013,598400.0,157649.0,123.0,MT, седан, передний, бензин,Республика Татарстан
ГАЗ ГАЗель 3302,2010,620000.0,150000.0,107.0,MT, фургон, задний, бензин,Ульяновская область
Audi Q3,2013,950000.0,128767.0,170.0,AMT, внедорожник, полный, бензин,Москва
ГАЗ ГАЗель 2747,2012,685000.0,250000.0,107.0,MT, фургон, задний, бензин,Краснодарский край
Volkswagen Golf,2014,692000.0,157702.0,105.0,MT, хетчбэк, передний, бензин,Ростовская область
ВАЗ (LADA) Granta,2018,549000.0,25640.0,106.0,AMT, хетчбэк, передний, бензин,Московская область
ВАЗ (LADA) Largus Cross,2018,899000.0,82056.0,106.0,MT, универсал, передний, бензин,Брянская область
SsangYong Rexton,2010,770000.0,162000.0,186.0,AT, внедорожник, полный, дизель,Москва
Kia Rio,2016,765000.0,100000.0,123.0,AT, седан, передний, бензин,Красноярский край
Chevrolet Niva,2016,650000.0,57000.0,80.0,MT, внедорожник, полный, бензин,Москва
Chevrolet Niva,2015,529000.0,92433.0,80.0,MT, внедорожник, полный, бензин,Республика Татарстан
ВАЗ (LADA) Granta,2019,539000.0,67473.0,87.0,MT, седан, передний, бензин,Республика Татарстан
Volkswagen Jetta,2014,775000.0,125000.0,105.0,AT, седан, передний, бензин,Республика Крым
Nissan Qashqai,2010,810000.0,161000.0,114.0,MT, внедорожник, передний, бензин,Брянская область
LADA XRAY,2019,635000.0,8000.0,106.0,MT, хетчбэк, передний, бензин,Самарская область
Nissan Murano,2007,475000.0,231689.0,234.0,CVT, внедорожник, полный, бензин,Москва
Hyundai Creta,2021,980000.0,22.0,121.0,AT, внедорожник, полный, бензин,Москва
ГАЗ ГАЗель 3302,2005,560000.0,300000.0,140.0,MT, пикап, задний, бензин,Республика Башкортостан
Mercedes-Benz S-класс,2006,900000.0,170000.0,272.0,AT, седан, задний, бензин,Москва
ВАЗ (LADA) XRAY,2017,677000.0,124500.0,122.0,MT, хетчбэк, передний, бензин,Воронежская область
Toyota Camry,2008,990000.0,201000.0,167.0,AT, седан, передний, бензин,Краснодарский край
Opel Corsa,2012,558000.0,130000.0,100.0,AT, хетчбэк, передний, бензин,Краснодарский край
Volkswagen Polo,2018,680000.0,300000.0,90.0,MT, седан, передний, бензин,Вологодская область
Citroen DS 4,2012,688000.0,113665.0,150.0,AT, хетчбэк, передний, бензин,Краснодарский край
LADA 4x4 (Нива),2017,495000.0,120000.0,80.0,MT, внедорожник, полный, бензин,Кабардино-Балкарская Республика
Mercedes-Benz E-класс,2009,939000.0,149318.0,272.0,AT, седан, полный, бензин,Москва
Skoda Octavia,2013,750000.0,98000.0,140.0,AMT, хетчбэк, передний, бензин,Москва
Ford Mondeo,2012,647000.0,87655.0,200.0,AMT, седан, передний, бензин,Москва
Mitsubishi Pajero Sport,2005,519000.0,161000.0,170.0,AT, внедорожник, полный, бензин,Москва
Skoda Karoq,2021,990000.0,62.0,110.0,AT, внедорожник, передний, бензин,Москва
Kia Ceed,2007,520000.0,150500.0,109.0,MT, хетчбэк, передний, бензин,Калининградская область
Chevrolet Cruze,2011,568000.0,90607.0,109.0,AT, седан, передний, бензин,Челябинская область
LADA Granta,2020,817000.0,34000.0,106.0,MT, седан, передний, бензин,Краснодарский край
Infiniti EX35,2008,825000.0,84000.0,295.0,AT, внедорожник, полный, бензин,Краснодарский край
Skoda Octavia,2014,799000.0,147000.0,140.0,MT, хетчбэк, передний, бензин,Республика Крым
Renault Sandero Stepway,2014,598000.0,151500.0,84.0,MT, хетчбэк, передний, бензин,Республика Башкортостан
Skoda Yeti,2012,570000.0,107000.0,105.0,AMT, внедорожник, передний, бензин,Москва
Skoda Octavia,2009,581000.0,168000.0,122.0,MT, хетчбэк, передний, бензин,Чувашская Республика
Ford Focus,2006,525000.0,102500.0,125.0,MT, универсал, передний, бензин,Тульская область
Renault Scenic,2008,540000.0,220000.0,130.0,AT, минивэн, передний, дизель,Московская область
Skoda Octavia,2013,829000.0,110000.0,180.0,MT, хетчбэк, передний, бензин,Москва
Ford Focus,2012,459000.0,158281.0,85.0,MT, хетчбэк, передний, бензин,Республика Татарстан
Mitsubishi Lancer,2012,569000.0,96000.0,117.0,AT, седан, передний, бензин,Москва
Nissan Navara,2007,695000.0,275000.0,174.0,MT, пикап, полный, дизель,Москва
Volkswagen Passat,2012,785000.0,129000.0,152.0,AMT, седан, передний, бензин,Москва
Hyundai Solaris,2021,610000.0,51.0,123.0,MT, седан, передний, бензин,Москва
Skoda Octavia,2017,725000.0,335000.0,110.0,AT, хетчбэк, передний, бензин,Москва
Volkswagen Polo,2016,750000.0,150000.0,110.0,MT, седан, передний, бензин,Самарская область
Renault Sandero Stepway,2012,585000.0,97939.0,84.0,MT, хетчбэк, передний, бензин,Калужская область
ГАЗ ГАЗель 3302,2019,999000.0,191266.0,107.0,MT, пикап, задний, бензин,Нижегородская область
ГАЗ ГАЗель 3302,2007,728000.0,143800.0,140.0,MT, фургон, задний, бензин,Московская область
LADA Granta,2020,710000.0,30200.0,106.0,MT, седан, передний, бензин,Ставропольский край
Ford Fusion,2011,458000.0,118000.0,80.0,MT, хетчбэк, передний, бензин,Челябинская область
Honda Civic,2008,597000.0,199000.0,140.0,AT, седан, передний, бензин,Краснодарский край
Kia Ceed,2021,790000.0,36.0,128.0,AT, универсал, передний, бензин,Москва
Kia Ceed,2014,690000.0,96000.0,129.0,MT, хетчбэк, передний, бензин,Санкт-Петербург
Infiniti EX35,2008,990000.0,185500.0,302.0,AT, внедорожник, полный, бензин,Краснодарский край
LADA Granta,2021,590000.0,58.0,106.0,MT, седан, передний, бензин,Москва
Volkswagen Polo,2019,973000.0,49000.0,110.0,AT, седан, передний, бензин,Ставропольский край
Kia Cerato,2012,650000.0,77000.0,126.0,AT, седан, передний, бензин,Республика Крым
Hyundai Santa Fe,2010,997000.0,198000.0,197.0,MT, внедорожник, полный, дизель,Воронежская область
Opel Astra GTC,2013,715000.0,128000.0,140.0,AT, хетчбэк, передний, бензин,Москва
Kia Rio,2011,540000.0,140000.0,107.0,AT, седан, передний, бензин,Астраханская область
Ford Focus,2012,680000.0,131000.0,150.0,AMT, универсал, передний, бензин,Москва
Audi A8,2004,650000.0,255000.0,335.0,AT, седан, полный, бензин,Москва
BMW 5 серия,2004,670000.0,234000.0,192.0,AT, седан, задний, бензин,Липецкая область
Mitsubishi Lancer,2007,547000.0,159000.0,150.0,CVT, седан, передний, бензин,Краснодарский край
Kia Ceed,2013,830000.0,109000.0,129.0,AT, универсал, передний, бензин,Москва
ГАЗ ГАЗель Next,2014,925000.0,128000.0,150.0,MT, фургон, задний, дизель,Нижегородская область
Skoda Octavia,2011,528900.0,127673.0,122.0,MT, хетчбэк, передний, бензин,Челябинская область
Ford Focus,2008,475000.0,140000.0,100.0,AT, седан, передний, бензин,Астраханская область
Hyundai Solaris,2018,840000.0,56000.0,100.0,AT, седан, передний, бензин,Чувашская Республика
Hyundai Solaris,2018,660000.0,226000.0,100.0,MT, седан, передний, бензин,Санкт-Петербург
Kia Venga,2012,619000.0,73734.0,124.0,AT, минивэн, передний, бензин,Москва
Kia Venga,2012,619000.0,73734.0,124.0,AT, минивэн, передний, бензин,Москва
Hyundai Solaris,2011,545000.0,161000.0,123.0,AT, седан, передний, бензин,Белгородская область
Chevrolet Orlando,2012,805000.0,103000.0,141.0,AT, минивэн, передний, бензин,Москва
Renault Sandero Stepway,2011,500000.0,108124.0,84.0,MT, хетчбэк, передний, бензин,Москва
Hyundai Solaris,2017,750000.0,110000.0,100.0,AT, седан, передний, бензин,Калининградская область
Chery Tiggo 4,2021,890300.0,201.0,122.0,CVT, внедорожник, передний, бензин,Свердловская область
Opel Astra,2009,549000.0,67012.0,115.0,AMT, седан, передний, бензин,Воронежская область
Volkswagen Polo,2013,570000.0,112800.0,105.0,MT, седан, передний, бензин,Краснодарский край
Mercedes-Benz S-класс,2007,980000.0,175000.0,388.0,AT, седан, полный, бензин,Москва
ВАЗ (LADA) Vesta,2019,740000.0,90030.0,106.0,MT, седан, передний, бензин,Московская область
LADA Largus,2021,750000.0,26.0,106.0,MT, универсал, передний, бензин,Москва
Hyundai Sonata,2011,475000.0,169000.0,137.0,AT, седан, передний, бензин,Москва
BMW X1,2011,900000.0,155000.0,150.0,AT, внедорожник, задний, бензин,Республика Крым
ВАЗ (LADA) XRAY,2017,769900.0,68291.0,106.0,MT, хетчбэк, передний, бензин,Воронежская область
Skoda Octavia,2013,645000.0,170000.0,102.0,MT, хетчбэк, передний, бензин,Рязанская область
Geely Emgrand EC7,2016,540000.0,120000.0,106.0,MT, седан, передний, бензин,Республика Башкортостан
Chrysler 300C,2006,625000.0,243000.0,249.0,AT, седан, задний, бензин,Челябинская область
LADA 4x4 (Нива),2015,520000.0,17000.0,83.0,MT, внедорожник, полный, бензин,Рязанская область
Ford Focus,2013,650000.0,160000.0,105.0,MT, хетчбэк, передний, бензин,Москва
Renault Megane,2013,475000.0,134000.0,114.0,CVT, хетчбэк, передний, бензин,Краснодарский край
Kia Ceed,2012,743000.0,197000.0,129.0,MT, универсал, передний, бензин,Республика Татарстан
Renault Duster,2019,890000.0,14800.0,114.0,MT, внедорожник, полный, бензин,Москва
Volkswagen Polo,2013,699999.0,92000.0,105.0,AT, седан, передний, бензин,Саратовская область
Opel Antara,2008,727000.0,139074.0,227.0,AT, внедорожник, полный, бензин,Ростовская область
LADA Granta,2018,650000.0,68000.0,106.0,MT, седан, передний, бензин,Самарская область
Audi A4,2009,530000.0,170000.0,211.0,AMT, седан, полный, бензин,Оренбургская область
Chevrolet Aveo,2011,450000.0,82000.0,94.0,AT, седан, передний, бензин,Удмуртская Республика
ГАЗ ГАЗель 2705,2015,465000.0,143000.0,107.0,MT, фургон, задний, бензин,Краснодарский край
Volkswagen Jetta,2013,750000.0,154000.0,105.0,AT, седан, передний, бензин,Москва
ВАЗ (LADA) Largus,2019,627000.0,222638.0,106.0,MT, универсал, передний, бензин,Воронежская область
Kia Rio,2013,699000.0,123000.0,123.0,MT, хетчбэк, передний, бензин,Воронежская область
Hyundai Solaris,2016,769000.0,115000.0,123.0,AT, хетчбэк, передний, бензин,Санкт-Петербург
ГАЗ ГАЗель 3302,2014,550000.0,153000.0,107.0,MT, фургон, задний, бензин,Республика Татарстан
Geely Atlas,2021,750000.0,38.0,149.0,AT, внедорожник, полный, бензин,Москва
BMW 5 серия,2008,810000.0,225000.0,218.0,AT, седан, задний, бензин,Москва
Opel Astra,2011,507000.0,235391.0,115.0,MT, седан, передний, бензин,Ростовская область
Renault Logan,2014,585000.0,71761.0,82.0,MT, седан, передний, бензин,Москва
Renault Fluence,2012,612000.0,135000.0,106.0,AT, седан, передний, бензин,Смоленская область
Kia Ceed,2009,640000.0,126000.0,109.0,MT, хетчбэк, передний, бензин,Самарская область
LADA 4x4 (Нива),2019,830000.0,7500.0,83.0,MT, внедорожник, полный, бензин,Саратовская область
Kia Ceed,2009,519000.0,134000.0,122.0,MT, универсал, передний, бензин,Москва
Nissan Pathfinder,2007,930000.0,179000.0,174.0,AT, внедорожник, полный, дизель,Москва
Ford Mondeo,2015,949000.0,98000.0,149.0,AT, седан, передний, бензин,Москва
Volkswagen Passat,2011,755000.0,144000.0,152.0,AMT, седан, передний, бензин,Москва
Volkswagen Polo,2015,599000.0,170000.0,105.0,MT, седан, передний, бензин,Санкт-Петербург
Citroen C4,2011,560000.0,143000.0,120.0,AT, хетчбэк, передний, бензин,Москва
Chery Tiggo 7 Pro,2021,980000.0,53.0,147.0,CVT, внедорожник, передний, бензин,Москва
Renault Kaptur,2021,780000.0,31.0,114.0,CVT, внедорожник, передний, бензин,Москва
BMW X5,2002,620000.0,230000.0,231.0,AT, внедорожник, полный, бензин,Калининградская область
УАЗ Patriot,2014,565000.0,156000.0,128.0,MT, внедорожник, полный, бензин,Ленинградская область
Chevrolet Aveo,2014,495000.0,135000.0,115.0,AT, седан, передний, бензин,Кировская область
Skoda Rapid,2016,765000.0,133403.0,110.0,MT, хетчбэк, передний, бензин,Ленинградская область
Kia Soul,2010,685000.0,168000.0,128.0,AT, хетчбэк, передний, дизель,Республика Марий Эл
ВАЗ (LADA) XRAY,2016,737000.0,48000.0,106.0,MT, хетчбэк, передний, бензин,Воронежская область
Volkswagen Polo,2019,813000.0,75807.0,90.0,MT, седан, передний, бензин,Тюменская область
Opel Antara,2011,747000.0,180000.0,140.0,MT, внедорожник, полный, бензин,Ростовская область
Kia Rio,2016,805000.0,123000.0,123.0,AT, седан, передний, бензин,Ростовская область
Mitsubishi Outlander,2008,877000.0,227500.0,220.0,AT, внедорожник, полный, бензин,Ростовская область
Hyundai Tucson,2007,647000.0,40000.0,142.0,MT, внедорожник, полный, бензин,Волгоградская область
Nissan Qashqai,2008,530000.0,180000.0,141.0,CVT, внедорожник, передний, бензин,Нижегородская область
ВАЗ (LADA) Granta,2019,497200.0,56347.0,87.0,MT, хетчбэк, передний, бензин,Челябинская область
Kia Soul,2021,950000.0,71.0,150.0,AT, внедорожник, передний, бензин,Москва
ВАЗ (LADA) Vesta,2017,579000.0,58749.0,106.0,MT, седан, передний, бензин,Мурманская область
LADA Priora,2015,510000.0,131000.0,106.0,MT, седан, передний, бензин,Кабардино-Балкарская Республика
Great Wall Hover H5,2012,560000.0,130000.0,150.0,AT, внедорожник, полный, дизель,Москва
Toyota Camry,2008,713000.0,149334.0,167.0,AT, седан, передний, бензин,Москва
Nissan AD,2017,680000.0,58023.0,111.0,CVT, универсал, передний, бензин,Кемеровская область
Volkswagen Polo,2018,965000.0,119000.0,110.0,AT, седан, передний, бензин,Республика Дагестан
LADA 4x4 (Нива),2020,797000.0,34000.0,83.0,MT, внедорожник, полный, бензин,Ставропольский край
Kia Rio,2019,940000.0,60000.0,123.0,AT, седан, передний, бензин,Чеченская Республика
Mazda 5,2011,939000.0,155500.0,144.0,AT, минивэн, передний, бензин,Свердловская область
Land Rover Freelander,2009,773000.0,152188.0,160.0,AT, внедорожник, полный, дизель,Москва
Mercedes-Benz C-класс,2012,969000.0,107000.0,184.0,AT, седан, задний, бензин,Москва
Volkswagen Polo,2011,505000.0,150000.0,105.0,MT, седан, передний, бензин,Краснодарский край
Volkswagen Transporter,1998,550000.0,354000.0,68.0,MT, фургон, передний, дизель,Республика Крым
LADA Granta,2021,788999.0,20000.0,106.0,MT, седан, передний, бензин,Краснодарский край
LADA Granta,2017,490000.0,110765.0,106.0,MT, седан, передний, бензин,Курская область
Volkswagen Golf Plus,2010,634900.0,142061.0,105.0,AMT, хетчбэк, передний, бензин,Удмуртская Республика
Chevrolet Cruze,2012,519000.0,237000.0,109.0,MT, седан, передний, бензин,Мурманская область
Kia Ceed,2012,795000.0,125000.0,129.0,AT, универсал, передний, бензин,Республика Мордовия
Audi A6,2011,783000.0,124000.0,290.0,AT, седан, полный, бензин,Москва
Hyundai Solaris,2016,600000.0,120000.0,123.0,MT, седан, передний, бензин,Ростовская область
Ford Focus,2011,568000.0,165000.0,150.0,MT, хетчбэк, передний, бензин,Московская область
Alfa Romeo 159,2007,795000.0,161226.0,260.0,MT, седан, полный, бензин,Ярославская область
Nissan X-Trail,2008,780000.0,111000.0,140.0,CVT, внедорожник, полный, бензин,Краснодарский край
ВАЗ (LADA) 4x4 (Нива),2019,582388.0,40225.0,83.0,MT, внедорожник, полный, бензин,Челябинская область
Renault Sandero Stepway,2012,477000.0,204000.0,84.0,MT, хетчбэк, передний, бензин,Ростовская область
Opel Antara,2013,875000.0,175000.0,167.0,MT, внедорожник, полный, бензин,Мурманская область
Mercedes-Benz Viano,2007,899000.0,180000.0,231.0,AT, минивэн, задний, бензин,Москва
Honda Stepwgn,2001,555000.0,197000.0,160.0,AT, минивэн, передний, бензин,Забайкальский край
Nissan Juke,2012,839000.0,109000.0,190.0,CVT, внедорожник, полный, бензин,Санкт-Петербург
Kia Venga,2011,697000.0,176352.0,125.0,AT, минивэн, передний, бензин,Краснодарский край
Opel Zafira,2008,453000.0,166528.0,140.0,AMT, минивэн, передний, бензин,Москва
Nissan Teana,2006,560000.0,200000.0,173.0,AT, седан, передний, бензин,Москва
Ford EcoSport,2015,850000.0,50000.0,122.0,MT, внедорожник, передний, бензин,Республика Адыгея
Honda Pilot,2008,849000.0,159000.0,257.0,AT, внедорожник, полный, бензин,Москва
Hyundai Solaris,2014,715000.0,196130.0,123.0,AT, седан, передний, бензин,Краснодарский край
Volkswagen Jetta,2012,730000.0,109000.0,122.0,AMT, седан, передний, бензин,Москва
Chevrolet TrailBlazer,2007,450000.0,245000.0,295.0,AT, внедорожник, полный, бензин,Новгородская область
Hyundai Sonata,2007,455000.0,165000.0,144.0,MT, седан, передний, бензин,Ставропольский край
LADA Granta,2019,830000.0,40000.0,106.0,MT, седан, передний, бензин,Ставропольский край
Hyundai Solaris,2015,860000.0,61929.0,107.0,AT, седан, передний, бензин,Свердловская область
Ford Fiesta,2015,590000.0,36000.0,105.0,MT, седан, передний, бензин,Санкт-Петербург
Dodge Caliber,2008,510000.0,178000.0,156.0,CVT, хетчбэк, передний, бензин,Краснодарский край
Kia Venga,2011,534000.0,138000.0,90.0,MT, минивэн, передний, бензин,Удмуртская Республика
Mazda 6,2011,800000.0,190000.0,147.0,AT, хетчбэк, передний, бензин,Новгородская область
Hyundai Solaris,2018,957000.0,72000.0,100.0,AT, седан, передний, бензин,Чувашская Республика
Mazda 3,2008,515000.0,154300.0,105.0,AT, хетчбэк, передний, бензин,Москва
Kia Soul,2014,775000.0,138519.0,132.0,MT, хетчбэк, передний, бензин,Санкт-Петербург
Mazda 6,2010,885000.0,165000.0,170.0,AT, седан, передний, бензин,Москва
Skoda Rapid,2017,777000.0,93250.0,110.0,MT, хетчбэк, передний, бензин,Волгоградская область
Renault Duster,2013,580000.0,196560.0,102.0,MT, внедорожник, передний, бензин,Московская область
Renault Duster,2013,580000.0,196560.0,102.0,MT, внедорожник, передний, бензин,Московская область
Kia Ceed,2013,909000.0,155300.0,129.0,AT, хетчбэк, передний, бензин,Удмуртская Республика
Opel Astra,2011,459000.0,170379.0,140.0,MT, хетчбэк, передний, бензин,Санкт-Петербург
ВАЗ (LADA) Largus Cross,2018,819000.0,78000.0,106.0,MT, универсал, передний, бензин,Свердловская область
Skoda Octavia Scout,2012,730000.0,175000.0,152.0,MT, универсал, полный, бензин,Москва
Volkswagen Passat,2008,700000.0,190000.0,160.0,AT, седан, передний, бензин,Московская область
Lexus RX,2005,799000.0,170000.0,204.0,AT, внедорожник, полный, бензин,Москва
Ford Focus,2012,770000.0,148000.0,125.0,AMT, седан, передний, бензин,Чеченская Республика
Nissan Teana,2007,492000.0,220398.0,245.0,CVT, седан, передний, бензин,Краснодарский край
Volkswagen Polo,2014,619000.0,111021.0,105.0,MT, седан, передний, бензин,Москва
Volkswagen Polo,2011,615000.0,137250.0,105.0,AT, седан, передний, бензин,Саратовская область
УАЗ Patriot,2013,455000.0,127000.0,128.0,MT, внедорожник, полный, бензин,Москва
Nissan Qashqai,2012,845000.0,168000.0,141.0,MT, внедорожник, передний, бензин,Санкт-Петербург
Skoda Octavia,2013,750000.0,98000.0,140.0,AMT, хетчбэк, передний, бензин,Москва
Audi A6,2011,783000.0,124000.0,290.0,AT, седан, полный, бензин,Москва
Hyundai Santa Fe,2010,920000.0,144000.0,174.0,AT, внедорожник, полный, бензин,Москва
Volkswagen Jetta,2013,989000.0,57277.0,122.0,AMT, седан, передний, бензин,Пензенская область
УАЗ Patriot,2012,490000.0,93000.0,128.0,MT, внедорожник, полный, бензин,Республика Марий Эл
Mitsubishi Outlander,2008,895000.0,177000.0,170.0,CVT, внедорожник, полный, бензин,Московская область
Hyundai Solaris,2014,720000.0,111000.0,123.0,AT, хетчбэк, передний, бензин,Московская область
Opel Astra GTC,2012,635000.0,173000.0,140.0,AT, хетчбэк, передний, бензин,Краснодарский край
Toyota Mark X,2008,460000.0,36000.0,215.0,AT, седан, задний, бензин,Гагрский р-н
LADA Granta,2020,730000.0,20000.0,106.0,MT, седан, передний, бензин,Краснодарский край
Renault Sandero,2017,844967.0,89460.0,82.0,MT, хетчбэк, передний, бензин,Республика Татарстан
LADA Granta,2017,477000.0,21690.0,106.0,MT, хетчбэк, передний, бензин,Санкт-Петербург
Mazda 6,2008,575000.0,236898.0,140.0,MT, универсал, передний, дизель,Москва
LADA XRAY,2017,598000.0,104000.0,106.0,MT, хетчбэк, передний, бензин,Республика Татарстан
Kia Cerato,2009,620000.0,158000.0,126.0,AT, седан, передний, бензин,Волгоградская область
Chery Tiggo 4,2021,770000.0,64.0,147.0,AMT, внедорожник, передний, бензин,Москва
Ford Econovan,2012,885000.0,184264.0,86.0,MT, минивэн, задний, дизель,Москва
LADA Granta,2020,635000.0,4500.0,87.0,MT, седан, передний, бензин,Кабардино-Балкарская Республика
Renault Vel Satis,2004,450000.0,342830.0,150.0,AT, хетчбэк, передний, дизель,Москва
Chevrolet Cruze,2011,620000.0,136088.0,109.0,MT, седан, передний, бензин,Ростовская область
ВАЗ 2121 (4x4) Urban,2019,657000.0,38700.0,83.0,MT, внедорожник, полный, бензин,Самарская область
ВАЗ (LADA) Vesta,2021,779900.0,1.0,106.0,MT, седан, передний, бензин,Белгородская область
LADA Largus,2014,570000.0,105000.0,105.0,MT, универсал, передний, бензин,Тюменская область
Ford Fusion,2008,598000.0,104500.0,101.0,AT, хетчбэк, передний, бензин,Санкт-Петербург
Ford Focus,2013,597000.0,154859.0,105.0,MT, седан, передний, бензин,Воронежская область
ВАЗ (LADA) Vesta Cross,2019,925000.0,62000.0,106.0,MT, универсал, передний, бензин,Липецкая область
Hyundai Solaris,2017,885000.0,78000.0,123.0,MT, седан, передний, бензин,Ростовская область
Chevrolet Cruze,2010,480000.0,125100.0,109.0,AT, седан, передний, бензин,Москва
Toyota Prius,2012,999999.0,177000.0,99.0,AT, хетчбэк, передний, гибрид,Челябинская область
MINI Cooper S Countryman,2011,899000.0,150000.0,184.0,AT, внедорожник, полный, бензин,Санкт-Петербург
ГАЗ ГАЗель 33023,2010,485000.0,161000.0,107.0,MT, пикап, задний, бензин,Нижегородская область
Kia Rio,2016,909000.0,19989.0,123.0,AT, седан, передний, бензин,Республика Татарстан
Kia Rio,2015,885000.0,97000.0,123.0,AT, седан, передний, бензин,Ростовская область
Ford Transit,2012,979000.0,195000.0,125.0,MT, микроавтобус, задний, дизель,Москва
Suzuki Jimny,2003,520000.0,120000.0,80.0,AT, внедорожник, полный, бензин,Москва
Chevrolet Aveo,2012,560000.0,88911.0,115.0,AT, седан, передний, бензин,Пензенская область
Skoda Octavia,2012,490000.0,134000.0,80.0,MT, хетчбэк, передний, бензин,Краснодарский край
Volkswagen Golf Plus,2011,647000.0,145600.0,122.0,MT, хетчбэк, передний, бензин,Республика Башкортостан
LADA 4x4 (Нива),2019,750000.0,23000.0,83.0,MT, внедорожник, полный, бензин,Волгоградская область
Ford Focus,2013,479000.0,128000.0,125.0,AMT, хетчбэк, передний, бензин,Москва
Hyundai Santa Fe,2007,817000.0,227353.0,155.0,AT, внедорожник, полный, дизель,Ростовская область
Volkswagen Polo,2019,639000.0,157000.0,90.0,MT, седан, передний, бензин,Московская область
Citroen C4,2011,470000.0,145100.0,120.0,AT, хетчбэк, передний, бензин,Москва
