model,year,price,total_km,hp,box,body,drive,fuel,location
Toyota Noah,2001,599000.0,250000.0,152.0,AT, минивэн, передний, бензин,Тюменская область
ВАЗ Kalina Cross,2017,500000.0,65241.0,106.0,MT, универсал, передний, бензин,Тульская область
Nissan Qashqai,2011,749000.0,183500.0,114.0,MT, внедорожник, передний, бензин,Санкт-Петербург
Renault Duster,2013,699000.0,102000.0,135.0,AT, внедорожник, передний, бензин,Санкт-Петербург
Opel Astra,2012,770000.0,135000.0,140.0,AT, седан, передний, бензин,Челябинская область
Kia Ceed,2012,690000.0,106000.0,125.0,MT, универсал, передний, бензин,Тюменская область
Nissan Qashqai,2012,900000.0,160000.0,141.0,CVT, внедорожник, полный, бензин,Челябинская область
Renault Logan,2015,619000.0,128300.0,102.0,MT, седан, передний, бензин,Свердловская область
LADA Granta,2018,555555.0,94000.0,87.0,MT, седан, передний, бензин,Краснодарский край
Toyota Rush,2015,779000.0,40000.0,109.0,AT, внедорожник, полный, бензин,Приморский край
Nissan Tiida,2010,535000.0,175000.0,110.0,AT, хетчбэк, передний, бензин,Саратовская область
Nissan Teana,2005,550000.0,174664.0,245.0,CVT, седан, передний, бензин,Амурская область
Toyota Ractis,2016,689000.0,44000.0,103.0,CVT, хетчбэк, полный, бензин,Приморский край
Volkswagen Polo,2015,900000.0,99000.0,105.0,AT, седан, передний, бензин,Республика Марий Эл
ВАЗ (LADA) Kalina,2016,473000.0,85158.0,87.0,MT, универсал, передний, бензин,Воронежская область
Toyota Premio,2011,890000.0,56000.0,133.0,CVT, седан, полный, бензин,Омская область
Volkswagen Golf,2011,670000.0,125000.0,102.0,AMT, хетчбэк, передний, бензин,Пермский край
Skoda Rapid,2015,737000.0,113800.0,105.0,MT, хетчбэк, передний, бензин,Свердловская область
Mitsubishi Pajero,2004,719000.0,190000.0,202.0,AT, внедорожник, полный, бензин,Москва
Peugeot Boxer,2013,550000.0,218000.0,130.0,MT, микроавтобус, передний, дизель,Тульская область
Kia Rio,2014,870000.0,127000.0,123.0,AT, седан, передний, бензин,Пензенская область
Volvo XC90,2006,550000.0,270000.0,210.0,AT, внедорожник, полный, бензин,Тюменская область
Toyota Succeed,2018,570000.0,41000.0,109.0,CVT, универсал, передний, бензин,Приморский край
Hyundai Solaris,2015,850000.0,111100.0,123.0,AT, седан, передний, бензин,Краснодарский край
Great Wall Hover H3,2012,592000.0,125923.0,122.0,MT, внедорожник, полный, бензин,Архангельская область
Peugeot 3008,2012,720000.0,192500.0,150.0,AT, внедорожник, передний, бензин,Вологодская область
Toyota Spade,2018,659000.0,47000.0,109.0,CVT, минивэн, передний, бензин,Приморский край
Kia Rio,2010,530000.0,122203.0,95.0,AT, седан, передний, бензин,Республика Башкортостан
Hyundai Getz,2010,550000.0,79000.0,97.0,AT, хетчбэк, передний, бензин,Астраханская область
LADA Kalina,2016,475999.0,71000.0,87.0,MT, универсал, передний, бензин,Москва
Renault Sandero Stepway,2016,879000.0,76000.0,82.0,MT, хетчбэк, передний, бензин,Свердловская область
Lexus GS,1999,580000.0,421000.0,222.0,AT, седан, задний, бензин,Республика Крым
Hyundai Solaris,2012,515000.0,160000.0,123.0,AT, седан, передний, бензин,Республика Дагестан
Renault Logan,2014,495000.0,132000.0,102.0,MT, седан, передний, бензин,Волгоградская область
Volkswagen Touareg,2008,730000.0,179000.0,280.0,AT, внедорожник, полный, бензин,Краснодарский край
Volkswagen Touareg,2008,730000.0,179000.0,280.0,AT, внедорожник, полный, бензин,Краснодарский край
Volkswagen Polo,2012,688000.0,108000.0,105.0,AT, седан, передний, бензин,Краснодарский край
Renault Logan,2014,495000.0,132000.0,102.0,MT, седан, передний, бензин,Волгоградская область
BMW 3 серия,2009,500000.0,190000.0,234.0,AT, седан, задний, бензин,Краснодарский край
ВАЗ (LADA) Vesta,2018,680990.0,52919.0,106.0,AMT, седан, передний, бензин,Иркутская область
Ford Focus,2011,499000.0,150000.0,100.0,MT, седан, передний, бензин,Саратовская область
LADA Vesta,2018,760000.0,62000.0,122.0,AMT, седан, передний, бензин,Республика Башкортостан
SsangYong Actyon,2014,845000.0,103000.0,149.0,AT, внедорожник, полный, дизель,Москва
Kia Sportage,2009,695000.0,141000.0,141.0,AT, внедорожник, полный, бензин,Москва
Great Wall Hover H5,2013,570000.0,53000.0,127.0,MT, внедорожник, полный, бензин,Москва
Hyundai Santa Fe,2008,510000.0,210000.0,112.0,AT, внедорожник, полный, дизель,Москва
Hyundai Solaris,2014,585000.0,190000.0,123.0,MT, седан, передний, бензин,Краснодарский край
Subaru Forester,2006,529999.0,239872.0,158.0,AT, внедорожник, полный, бензин,Вологодская область
Hyundai Solaris,2014,659000.0,100000.0,123.0,AT, седан, передний, бензин,Москва
