,NameYear,Price,CarParams,url
4190,"Mazda 6, 2013",1 049 000 ₽,"105 272 км, 2.0 AT (150 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/mazda_6_2013_2086105755
4191,"Nissan Juke, 2014",775 000 ₽,"106 926 км, 1.6 MT (117 л.с.), внедорожник, передний, бензин",https://www.avito.ru/moskva/avtomobili/nissan_juke_2014_2109848686
4192,"Nissan Tiida, 2012",450 000 ₽,"147 688 км, 1.6 AT (110 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/nissan_tiida_2012_2129319820
4193,"KIA Rio, 2019",825 000 ₽,"24 000 км, 1.4 AT (100 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/kia_rio_2019_2101523922
4194,"Skoda Octavia, 2018",1 579 000 ₽,"47 596 км, 1.8 AMT (180 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/skoda_octavia_2018_2093411879
4195,"Volkswagen Passat, 2012",665 000 ₽,"107 500 км, 1.8 AMT (152 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/volkswagen_passat_2012_2112070526
4196,"Mercedes-Benz GLS-класс AMG, 2016",5 270 000 ₽,"42 000 км, 5.5 AT (585 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/mercedes-benz_gls-klass_amg_2016_2124577243
4197,"Porsche Macan S, 2015",2 350 000 ₽,"118 612 км, 3.0 AMT (340 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/porsche_macan_s_2015_2076626884
4198,"Volkswagen Polo, 2013",576 699 ₽,"135 000 км, 1.6 AT (105 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/volkswagen_polo_2013_2093311473
4199,"BMW 3 серия, 2014",1 250 000 ₽,"68 000 км, 1.6 AT (136 л.с.), седан, задний, бензин",https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2014_2089026491
4200,"Ford Focus, 2014",445 000 ₽,"304 000 км, 1.6 MT (105 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2014_2086980905
4201,"Volkswagen Polo, 2019",700 000 ₽,"65 511 км, 1.6 MT (90 л.с.), седан, передний, бензин",https://www.avito.ru/moskva_zelenograd/avtomobili/volkswagen_polo_2019_2131572333
4202,"Audi Q5, 2012",1 500 000 ₽,"162 000 км, 2.0 AMT (170 л.с.), внедорожник, полный, дизель",https://www.avito.ru/moskva/avtomobili/audi_q5_2012_2126672632
4203,"BMW X5, 2017",3 890 000 ₽,"75 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",https://www.avito.ru/moskva/avtomobili/bmw_x5_2017_2097457751
4204,"Lexus ES, 2017",2 249 000 ₽,"60 332 км, 2.5 AT (184 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/lexus_es_2017_2065753702
