,NameYear,Price,CarParams,url
170,"Ford Focus, 2009",398 000 ₽,"157 000 км, 2.0 MT (145 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2009_2101739581
171,"Ford Focus, 2007",200 000 ₽,"150 000 км, 2.0 AT (145 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2007_2088368884
172,"Ford Focus, 2012",570 000 ₽,"108 000 км, 1.6 AMT (125 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2012_2101648524
173,"Ford Focus, 2014",570 000 ₽,"113 000 км, 2.0 AMT (150 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2014_2095275012
174,"Ford Focus, 2013",495 000 ₽,"145 000 км, 1.6 MT (125 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2013_2088800044
175,"Ford Focus, 2016",799 000 ₽,"52 000 км, 1.5 AT (150 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2016_2080129444
176,"Ford Focus, 2001",215 000 ₽,"127 940 км, 2.0 AT (131 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2001_2055770796
177,"Ford Focus, 2017",760 000 ₽,"82 000 км, 1.6 MT (125 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2017_2106795892
178,"Ford Focus, 2011",449 000 ₽,"116 000 км, 1.6 MT (125 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2011_2091617213
179,"Ford Focus, 2014",699 000 ₽,"136 023 км, 1.6 AMT (125 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2014_2087189982
180,"Ford Focus, 2018",768 000 ₽,"69 405 км, 1.6 MT (105 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2018_2106368127
181,"Ford Focus, 2013",618 000 ₽,"122 365 км, 1.6 MT (125 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2013_2088966408
182,"Ford Focus, 2009",419 000 ₽,"116 000 км, 2.0 AT (145 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2009_2104350253
183,"Ford Focus, 2004",229 000 ₽,"140 000 км, 1.8 MT (115 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2004_2111264061
184,"Ford Focus, 2010",495 000 ₽,"106 891 км, 1.8 MT (125 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2010_2086019937
185,"Ford Focus, 2016",740 000 ₽,"39 801 км, 1.6 AMT (105 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2016_2020609127
